genera;species;index;municipality;environment;sampling_point;Latitude;Longitude;trap
Eulaema;flavescens;1;Una ;Floresta;U3;;;
Eulaema;bombiformis;2;Una ;Floresta;U3;;;
Eulaema;bombiformis;3;Una ;Floresta;U3;;;
Eulaema;flavescens;4;Una ;Floresta;U3;;;
Eulaema;bombiformis;5;Una ;Floresta;U3;;;
Eulaema;flavescens;6;Una ;Floresta;U3;;;
Eulaema;bombiformis;7;Una ;Floresta;U3;;;
Eulaema;flavescens;8;Una ;Floresta;U3;;;
Eulaema;flavescens;9;Una ;Floresta;U3;;;
Eulaema;bombiformis;10;Una ;Floresta;U3;;;
Eulaema;flavescens;11;Una ;Floresta;U3;;;
Eulaema;flavescens;12;Una ;Floresta;U3;;;
Eulaema;flavescens;13;Una ;Floresta;U3;;;
Eulaema;flavescens;14;Una ;Floresta;U3;;;
Eulaema;flavescens;15;Una ;Floresta;U3;;;
Eulaema;flavescens;16;Una ;Floresta;U3;;;
Eulaema;flavescens;17;Una ;Floresta;U3;;;
Eulaema;flavescens;18;Una ;Floresta;U3;;;
Eulaema;flavescens;19;Una ;Floresta;U3;;;
Eulaema;flavescens;20;Una ;Floresta;U3;;;
Eulaema;bombiformis;21;Una ;Floresta;U3;;;
Eulaema;flavescens;22;Una ;Floresta;U3;;;
Eulaema;bombiformis;23;Una ;Floresta;U3;;;
Eulaema;flavescens;24;Una ;Floresta;U3;;;
Euglossa;imperialis;25;Una ;Floresta;U3;;;
Euglossa;imperialis;26;Una ;Floresta;U3;;;
Euglossa;imperialis;27;Una ;Cabruca;U3;;;
Euglossa;imperialis;28;Una ;Floresta;U3;;;
Euglossa;imperialis;29;Una ;Floresta;U3;;;
Euglossa;imperialis;30;Una ;Floresta;U3;;;
Euglossa;imperialis;31;Una ;Floresta;U3;;;
Euglossa;imperialis;32;Una ;Floresta;U3;;;
Euglossa;ignita;33;Una ;Floresta;U3;;;
Euglossa;imperialis;34;Una ;Floresta;U3;;;
Euglossa;imperialis;35;Una ;Floresta;U3;;;
Euglossa;imperialis;36;Una ;Floresta;U3;;;
Euglossa;imperialis;37;Una ;Floresta;U3;;;
Euglossa;imperialis;38;Una ;Floresta;U3;;;
Euglossa;imperialis;39;Una ;Floresta;U3;;;
Euglossa;imperialis;40;Una ;Floresta;U3;;;
Euglossa;imperialis;41;Una ;Floresta;U3;;;
Euglossa;imperialis;42;Una ;Cabruca;U3;;;
Euglossa;imperialis;43;Una ;Floresta;U3;;;
Euglossa;imperialis;44;Una ;Floresta;U3;;;
Euglossa;imperialis;45;Una ;Floresta;U3;;;
Euglossa;cognata;46;Una ;Floresta;U3;;;
Euglossa;cognata;47;Una ;Floresta;U3;;;
Euglossa;imperialis;48;Una ;Cabruca;U3;;;
Eulaema;flavescens;49;Una ;Cabruca;U3;;;
Euglossa;imperialis;50;Una ;Cabruca;U3;;;
Eulaema;bombiformis;51;Una ;Cabruca;U3;;;
Eulaema;bombiformis;52;Una ;Cabruca;U3;;;
Eulaema;bombiformis;53;Una ;Cabruca;U3;;;
Eulaema;bombiformis;54;Una ;Cabruca;U3;;;
Eulaema;flavescens;55;Una ;Cabruca;U3;;;
Eulaema;bombiformis;56;Una ;Cabruca;U3;;;
Eulaema;bombiformis;57;Una ;Cabruca;U3;;;
Euglossa;imperialis;58;Una ;Cabruca;U3;;;
Eulaema;bombiformis;59;Una ;Cabruca;U3;;;
Eulaema;bombiformis;60;Una ;Cabruca;U3;;;
Eulaema;flavescens;61;Una ;Cabruca;U3;;;
Eulaema;bombiformis;62;Una ;Cabruca;U3;;;
Eulaema;bombiformis;63;Una ;Cabruca;U3;;;
Eulaema;flavescens;64;Una ;Cabruca;U3;;;
Eulaema;flavescens;65;Una ;Cabruca;U3;;;
Euglossa;imperialis;66;Una ;Cabruca;U3;;;
Eulaema;bombiformis;67;Una ;Cabruca;U3;;;
Eulaema;flavescens;68;Una ;Cabruca;U3;;;
Eulaema;flavescens;69;Una ;Cabruca;U3;;;
Eulaema;bombiformis;70;Una ;Cabruca;U3;;;
Euglossa;imperialis;71;Una ;Cabruca;U3;;;
Eulaema;flavescens;72;Una ;Cabruca;U3;;;
Eulaema;flavescens;73;Una ;Cabruca;U3;;;
Eulaema;bombiformis;74;Una ;Cabruca;U3;;;
Eulaema;flavescens;75;Una ;Cabruca;U3;;;
Eulaema;flavescens;76;Una ;Cabruca;U3;;;
Eulaema;flavescens;77;Una ;Cabruca;U3;;;
Eulaema;flavescens;78;Una ;Cabruca;U3;;;
Eulaema;flavescens;79;Una ;Cabruca;U3;;;
Eulaema;flavescens;80;Una ;Cabruca;U3;;;
Eulaema;flavescens;81;Una ;Cabruca;U3;;;
Eulaema;flavescens;82;Una ;Cabruca;U3;;;
Eulaema;flavescens;83;Una ;Cabruca;U3;;;
Eulaema;bombiformis;84;Una ;Cabruca;U3;;;
Eulaema;bombiformis;85;Una ;Cabruca;U3;;;
Eulaema;flavescens;86;Una ;Cabruca;U3;;;
Eulaema;bombiformis;87;Una ;Cabruca;U3;;;
Eulaema;flavescens;88;Una ;Cabruca;U3;;;
Eulaema;bombiformis;89;Una ;Cabruca;U3;;;
Eulaema;bombiformis;90;Una ;Cabruca;U3;;;
Eulaema;bombiformis;91;Una ;Cabruca;U3;;;
Eulaema;bombiformis;92;Una ;Cabruca;U3;;;
Eulaema;bombiformis;93;Una ;Cabruca;U3;;;
Eulaema;bombiformis;94;Una ;Cabruca;U3;;;
Eulaema;bombiformis;95;Una ;Cabruca;U3;;;
Eulaema;bombiformis;96;Una ;Cabruca;U3;;;
Eulaema;flavescens;97;Una ;Cabruca;U3;;;
Eulaema;flavescens;98;Una ;Cabruca;U3;;;
Eulaema;flavescens;99;Una ;Cabruca;U3;;;
Eulaema;bombiformis;100;Una ;Cabruca;U3;;;
Eulaema;flavescens;101;Una ;Cabruca;U3;;;
Eulaema;flavescens;102;Una ;Cabruca;U3;;;
Eulaema;flavescens;103;Una ;Cabruca;U3;;;
Eulaema;flavescens;104;Una ;Cabruca;U3;;;
Eulaema;flavescens;105;Una ;Cabruca;U3;;;
Eulaema;bombiformis;106;Una ;Cabruca;U3;;;
Eulaema;flavescens;107;Una ;Cabruca;U3;;;
